smirks,k_kJ_mol_per_A2,length_A,cluster
[#6X3;!r3;!r4;!r5;!r6;!r7;!r8:1]-[#7X3;r6:2],2810.5024052734375,1.354846477508545,-1
[#6X3;r5:1]-[#6X3;r5:2],2689.953458984375,1.4850200414657593,28
[#6X4;r6:1]-[#7X3;!r3;!r4;!r5;!r6;!r7;!r8:2],2546.3156459960937,1.4523552656173706,53
[#6X3;!r3;!r4;!r5;!r6;!r7;!r8:1]-[#6X4;r6:2],1822.0666250000002,1.52238929271698,59
[#6X3;!r3;!r4;!r5;!r6;!r7;!r8:1]-[#6X4;r5:2],1747.2197834472656,1.524824619293213,-1
[#16X2;!r3;!r4;!r5;!r6;!r7;!r8:1]-[#6X3;r5:2],2079.2678356933593,1.7917907238006592,19
[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:1]-[#6X4;r3:2],2117.4198940429687,1.498620867729187,55
[#6X3;r6:1]-[#7X2;!r3;!r4;!r5;!r6;!r7;!r8:2],3028.391151367188,1.4157218933105469,-1
[#6X3;r5:1]-[#8X2;!r3;!r4;!r5;!r6;!r7;!r8:2],3506.9688388671875,1.375815510749817,42
[#6X3;r6:1]-[#6X4;r5:2],2175.133250488281,1.4950395822525024,55
[#6X3;!r3;!r4;!r5;!r6;!r7;!r8:1]=[#6X3;r5:2],3767.24050390625,1.3330023288726807,39
[#1X1;!r3;!r4;!r5;!r6;!r7;!r8:1]-[#7X2;!r3;!r4;!r5;!r6;!r7;!r8:2],4108.306475585938,1.013211965560913,0
[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:1]-[#7X4;!r3;!r4;!r5;!r6;!r7;!r8:2],2334.350487792969,1.5177897214889526,-1
[#7X2;!r3;!r4;!r5;!r6;!r7;!r8:1]-[#7X3;!r3;!r4;!r5;!r6;!r7;!r8:2],2582.021632324219,1.3532228469848633,44
[#15X4;!r3;!r4;!r5;!r6;!r7;!r8:1]=[#8X1;!r3;!r4;!r5;!r6;!r7;!r8:2],5710.819334960937,1.473329782485962,-1
[#17X1;!r3;!r4;!r5;!r6;!r7;!r8:1]-[#6X3;r5:2],1873.3296906738283,1.7183020114898682,23
[#16X1;!r3;!r4;!r5;!r6;!r7;!r8:1]=[#6X3;!r3;!r4;!r5;!r6;!r7;!r8:2],2958.2297309570313,1.644102931022644,7
[#1X1;!r3;!r4;!r5;!r6;!r7;!r8:1]-[#7X4;!r3;!r4;!r5;!r6;!r7;!r8:2],3836.3017856445313,1.0403248071670532,-1
[#16X2;!r3;!r4;!r5;!r6;!r7;!r8:1]-[#1X1;!r3;!r4;!r5;!r6;!r7;!r8:2],2426.653858886719,1.3497846126556396,-1
[#16X4;r6:1]=[#8X1;!r3;!r4;!r5;!r6;!r7;!r8:2],4826.6408466796875,1.4315860271453857,8
[#7X3;!r3;!r4;!r5;!r6;!r7;!r8:1]-[#8X2;!r3;!r4;!r5;!r6;!r7;!r8:2],2517.3261748046875,1.407006025314331,54
[#6X4;r5:1]-[#7X3;!r3;!r4;!r5;!r6;!r7;!r8:2],2540.648961425781,1.4485772848129272,53
[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:1]-[#7X2;!r3;!r4;!r5;!r6;!r7;!r8:2],1988.9116691894533,1.4690585136413574,52
[#6X3;r5:1]=[#7X2;!r3;!r4;!r5;!r6;!r7;!r8:2],4533.749099609375,1.2669607400894165,17
[#16X4;r5:1]=[#8X1;!r3;!r4;!r5;!r6;!r7;!r8:2],4747.388470703125,1.4357798099517822,8
[#16X2;!r3;!r4;!r5;!r6;!r7;!r8:1]-[#6X3;!r3;!r4;!r5;!r6;!r7;!r8:2],1865.5415107421875,1.797531008720398,21
[#7X3;!r3;!r4;!r5;!r6;!r7;!r8:1]-[#7X3;!r3;!r4;!r5;!r6;!r7;!r8:2],2541.8619741210937,1.3986244201660156,-1
[#6X3;r7:1]=[#8X1;!r3;!r4;!r5;!r6;!r7;!r8:2],6639.014606445313,1.2110353708267212,10
