simple_id,param_id,smirks,equilibrium_value
a64,specificity=3 index=31 count=35,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X3;!r3;!r4;!r5;!r6;!r7;!r8:2]~[!#1;r3:3],N/A
a65,specificity=3 index=32 count=34,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#16X2;!r3;!r4;!r5;!r6;!r7;!r8:2]~[!#1;r6:3],N/A
a66,specificity=3 index=33 count=34,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#16X4;!r3;!r4;!r5;!r6;!r7;!r8:2]~[!#1;r6:3],N/A
a67,specificity=3 index=34 count=29,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#7X2;!r3;!r4;!r5;!r6;!r7;!r8:2]~[!#1;r5:3],N/A
a68,specificity=3 index=35 count=28,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#8X2;!r3;!r4;!r5;!r6;!r7;!r8:2]~[!#1;r7:3],N/A
a69,specificity=3 index=36 count=28,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#16X4;!r3;!r4;!r5;!r6;!r7;!r8:2]~[!#1;r5:3],N/A
a70,specificity=3 index=37 count=28,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;r5:2]~[#1;!r3;!r4;!r5;!r6;!r7;!r8:3],N/A
a71,specificity=3 index=38 count=28,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#15X4;!r3;!r4;!r5;!r6;!r7;!r8:2]~[#1;!r3;!r4;!r5;!r6;!r7;!r8:3],N/A
a72,specificity=3 index=39 count=28,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#15X5;!r3;!r4;!r5;!r6;!r7;!r8:2]~[!#1;!r3;!r4;!r5;!r6;!r7;!r8:3],N/A
a73,specificity=3 index=40 count=26,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#7X3;!r3;!r4;!r5;!r6;!r7;!r8:2]~[#1;!r3;!r4;!r5;!r6;!r7;!r8:3],N/A
a74,specificity=3 index=41 count=25,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;r6:2]~[!#1;r5:3],N/A
a75,specificity=3 index=42 count=25,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#16X2;!r3;!r4;!r5;!r6;!r7;!r8:2]~[!#1;r5:3],N/A
a76,specificity=3 index=43 count=25,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;r4:2]~[!#1;r6:3],N/A
a77,specificity=3 index=44 count=24,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;r3:2]~[!#1;r6:3],N/A
